time	V(n002)	I(C1)	I(V1)
7.276110759703442e-01	9.865725e-01	-1.025550e+01	1.025550e+01
7.295642009703442e-01	9.591604e-01	-1.776163e+01	1.776163e+01
7.315173259703442e-01	9.173217e-01	-2.500060e+01	2.500060e+01
7.334704509703442e-01	8.616856e-01	-3.186355e+01	3.186355e+01
7.354235759703442e-01	7.930890e-01	-3.824723e+01	3.824723e+01
7.373767009703442e-01	7.125635e-01	-4.405565e+01	4.405565e+01
7.393298259703442e-01	6.213205e-01	-4.920142e+01	4.920142e+01
7.412829509703442e-01	5.207322e-01	-5.360716e+01	5.360716e+01
7.432360759703442e-01	4.123116e-01	-5.720660e+01	5.720660e+01
7.451892009703442e-01	2.976894e-01	-5.994560e+01	5.994560e+01
7.471423259703442e-01	1.785897e-01	-6.178296e+01	6.178296e+01
7.490954509703442e-01	5.680390e-02	-6.269105e+01	6.269105e+01
7.510485759703442e-01	-6.583632e-02	-6.265620e+01	6.265620e+01
7.530017009703442e-01	-1.874863e-01	-6.167895e+01	6.167895e+01
7.549548259703442e-01	-3.063163e-01	-5.977399e+01	5.977399e+01
7.569079509703442e-01	-4.205390e-01	-5.696997e+01	5.696997e+01
7.588610759703442e-01	-5.284365e-01	-5.330907e+01	5.330907e+01
7.608142009703442e-01	-6.283857e-01	-4.884636e+01	4.884636e+01
7.627673259703442e-01	-7.188835e-01	-4.364894e+01	4.364894e+01
7.647204509703442e-01	-7.985685e-01	-3.779501e+01	3.779501e+01
7.666735759703442e-01	-8.662424e-01	-3.137261e+01	3.137261e+01
7.686267009703442e-01	-9.208872e-01	-2.447833e+01	2.447833e+01
7.705798259703442e-01	-9.616809e-01	-1.721587e+01	1.721587e+01
7.725329509703442e-01	-9.880101e-01	-9.694477e+00	9.694477e+00
7.744860759703442e-01	-9.994787e-01	-2.027266e+00	2.027266e+00
7.764392009703442e-01	-9.959142e-01	5.670438e+00	-5.670438e+00
7.783923259703442e-01	-9.773703e-01	1.328285e+01	-1.328285e+01
7.803454509703442e-01	-9.441257e-01	2.069548e+01	-2.069548e+01
7.822985759703442e-01	-8.966807e-01	2.779683e+01	-2.779683e+01
7.842517009703442e-01	-8.357487e-01	3.448009e+01	-3.448009e+01
7.862048259703442e-01	-7.622463e-01	4.064473e+01	-4.064473e+01
7.881579509703442e-01	-6.772790e-01	4.619805e+01	-4.619805e+01
7.901110759703442e-01	-5.821248e-01	5.105650e+01	-5.105650e+01
7.920642009703442e-01	-4.782149e-01	5.514701e+01	-5.514701e+01
7.940173259703442e-01	-3.671122e-01	5.840806e+01	-5.840806e+01
7.959704509703442e-01	-2.504877e-01	6.079060e+01	-6.079060e+01
7.979235759703442e-01	-1.300958e-01	6.225879e+01	-6.225879e+01
7.998767009703442e-01	-7.747029e-03	6.279055e+01	-6.279055e+01
8.018298259703442e-01	1.147182e-01	6.237788e+01	-6.237788e+01
8.037829509703442e-01	2.354580e-01	6.102699e+01	-6.102699e+01
8.057360759703442e-01	3.526563e-01	5.875821e+01	-5.875821e+01
8.076892009703442e-01	4.645503e-01	5.560563e+01	-5.560563e+01
8.096423259703442e-01	5.694571e-01	5.161671e+01	-5.161671e+01
8.115954509703442e-01	6.657986e-01	4.685141e+01	-4.685141e+01
8.135485759703442e-01	7.521260e-01	4.138143e+01	-4.138143e+01
8.155017009703442e-01	8.271406e-01	3.528903e+01	-3.528903e+01
8.174548259703442e-01	8.897144e-01	2.866586e+01	-2.866586e+01
8.194079509703442e-01	9.389059e-01	2.161152e+01	-2.161152e+01
8.213610759703442e-01	9.739755e-01	1.423212e+01	-1.423212e+01
8.233142009703442e-01	9.943955e-01	6.638662e+00	-6.638662e+00
8.252673259703442e-01	9.998589e-01	-1.054649e+00	1.054649e+00
8.272204509703442e-01	9.902835e-01	-8.732098e+00	8.732098e+00
8.291735759703442e-01	9.658134e-01	-1.627821e+01	1.627821e+01
8.311267009703442e-01	9.268165e-01	-2.357948e+01	2.357948e+01
8.330798259703442e-01	8.738794e-01	-3.052609e+01	3.052609e+01
8.350329509703442e-01	8.077983e-01	-3.701357e+01	3.701357e+01
8.369860759703442e-01	7.295672e-01	-4.294431e+01	4.294431e+01
8.389392009703442e-01	6.403628e-01	-4.822915e+01	4.822915e+01
8.408923259703442e-01	5.415267e-01	-5.278857e+01	5.278857e+01
8.428454509703442e-01	4.345455e-01	-5.655400e+01	5.655400e+01
8.447985759703442e-01	3.210284e-01	-5.946880e+01	5.946880e+01
8.467517009703442e-01	2.026826e-01	-6.148914e+01	6.148914e+01
8.487048259703442e-01	8.128840e-02	-6.258463e+01	6.258463e+01
8.506579509703442e-01	-4.132850e-02	-6.273878e+01	6.273878e+01
8.526110759703442e-01	-1.633238e-01	-6.194929e+01	6.194929e+01
8.545642009703442e-01	-2.828625e-01	-6.022802e+01	6.022802e+01
8.565173259703442e-01	-3.981467e-01	-5.760086e+01	5.760086e+01
8.584704509703442e-01	-5.074425e-01	-5.410734e+01	5.410734e+01
8.604235759703442e-01	-6.091058e-01	-4.979999e+01	4.979999e+01
8.623767009703442e-01	-7.016076e-01	-4.474360e+01	4.474360e+01
8.643298259703442e-01	-7.835566e-01	-3.901423e+01	3.901423e+01
8.662829509703442e-01	-8.537201e-01	-3.269804e+01	3.269804e+01
8.682360759703442e-01	-9.110429e-01	-2.589005e+01	2.589005e+01
8.701892009703442e-01	-9.546628e-01	-1.869264e+01	1.869264e+01
8.721423259703442e-01	-9.839236e-01	-1.121408e+01	1.121408e+01
8.740954509703442e-01	-9.983854e-01	-3.566855e+00	3.566855e+00
8.760485759703442e-01	-9.978305e-01	4.134023e+00	-4.134023e+00
8.780017009703442e-01	-9.822672e-01	1.177272e+01	-1.177272e+01
8.799548259703442e-01	-9.519298e-01	1.923435e+01	-1.923435e+01
8.819079509703442e-01	-9.072744e-01	2.640667e+01	-2.640667e+01
8.838610759703442e-01	-8.489729e-01	3.318181e+01	-3.318181e+01
8.858142009703442e-01	-7.779019e-01	3.945787e+01	-3.945787e+01
8.877673259703442e-01	-6.951306e-01	4.514044e+01	-4.514044e+01
8.897204509703442e-01	-6.019039e-01	5.014406e+01	-5.014406e+01
8.916735759703442e-01	-4.996240e-01	5.439347e+01	-5.439347e+01
8.936267009703442e-01	-3.898293e-01	5.782475e+01	-5.782475e+01
8.955798259703442e-01	-2.741711e-01	6.038628e+01	-6.038628e+01
8.975329509703442e-01	-1.543892e-01	6.203956e+01	-6.203956e+01
8.994860759703442e-01	-3.228519e-02	6.275970e+01	-6.275970e+01
9.014392009703442e-01	9.030447e-02	6.253588e+01	-6.253588e+01
9.033923259703442e-01	2.115359e-01	6.137146e+01	-6.137146e+01
9.053454509703442e-01	3.295856e-01	5.928395e+01	-5.928395e+01
9.072985759703442e-01	4.426780e-01	5.630476e+01	-5.630476e+01
9.092517009703442e-01	5.491121e-01	5.247869e+01	-5.247869e+01
9.112048259703442e-01	6.472871e-01	4.786330e+01	-4.786330e+01
9.131579509703442e-01	7.357263e-01	4.252800e+01	-4.252800e+01
9.151110759703442e-01	8.130995e-01	3.655303e+01	-3.655303e+01
9.170642009703442e-01	8.782429e-01	3.002827e+01	-3.002827e+01
9.190173259703442e-01	9.301767e-01	2.305187e+01	-2.305187e+01
9.209704509703442e-01	9.681197e-01	1.572874e+01	-1.572874e+01
9.229235759703442e-01	9.915015e-01	8.169030e+00	-8.169030e+00
9.248767009703442e-01	9.999700e-01	4.864548e-01	-4.864548e-01
9.268298259703442e-01	9.933981e-01	-7.203437e+00	7.203437e+00
9.287829509703442e-01	9.718845e-01	-1.478498e+01	1.478498e+01
9.307360759703442e-01	9.357529e-01	-2.214415e+01	2.214415e+01
9.326892009703442e-01	8.855467e-01	-2.917025e+01	2.917025e+01
9.346423259703442e-01	8.220211e-01	-3.575760e+01	3.575760e+01
9.365954509703442e-01	7.461315e-01	-4.180712e+01	4.180712e+01
9.385485759703442e-01	6.590194e-01	-4.722782e+01	4.722782e+01
9.405017009703442e-01	5.619950e-01	-5.193818e+01	5.193818e+01
9.424548259703442e-01	4.565177e-01	-5.586733e+01	5.586733e+01
9.444079509703442e-01	3.441739e-01	-5.895619e+01	5.895619e+01
9.463610759703442e-01	2.266535e-01	-6.115829e+01	6.115829e+01
9.483142009703442e-01	1.057239e-01	-6.244051e+01	6.244051e+01
9.502673259703442e-01	-1.679580e-02	-6.278358e+01	6.278358e+01
9.522204509703442e-01	-1.390629e-01	-6.218232e+01	6.218232e+01
9.541735759703442e-01	-2.592384e-01	-6.064577e+01	6.064577e+01
9.561267009703442e-01	-3.755146e-01	-5.819706e+01	5.819706e+01
9.580798259703442e-01	-4.861428e-01	-5.487301e+01	5.487301e+01
9.600329509703442e-01	-5.894589e-01	-5.072363e+01	5.072363e+01
9.619860759703442e-01	-6.839091e-01	-4.581130e+01	4.581130e+01
9.639392009703442e-01	-7.680726e-01	-4.020994e+01	4.020994e+01
9.658923259703442e-01	-8.406836e-01	-3.400378e+01	3.400378e+01
9.678454509703442e-01	-9.006499e-01	-2.728617e+01	2.728617e+01
9.697985759703442e-01	-9.470696e-01	-2.015815e+01	2.015815e+01
9.717517009703442e-01	-9.792445e-01	-1.272694e+01	1.272694e+01
9.737048259703442e-01	-9.966906e-01	-5.104296e+00	5.104296e+00
9.756579509703442e-01	-9.991456e-01	2.595118e+00	-2.595118e+00
9.776110759703442e-01	-9.865725e-01	1.025550e+01	-1.025550e+01
9.795642009703442e-01	-9.591604e-01	1.776163e+01	-1.776163e+01
9.815173259703442e-01	-9.173217e-01	2.500060e+01	-2.500060e+01
9.834704509703442e-01	-8.616856e-01	3.186355e+01	-3.186355e+01
9.854235759703442e-01	-7.930890e-01	3.824723e+01	-3.824723e+01
9.873767009703442e-01	-7.125635e-01	4.405565e+01	-4.405565e+01
9.893298259703442e-01	-6.213205e-01	4.920142e+01	-4.920142e+01
9.912829509703442e-01	-5.207322e-01	5.360716e+01	-5.360716e+01
9.932360759703442e-01	-4.123116e-01	5.720660e+01	-5.720660e+01
9.951892009703442e-01	-2.976894e-01	5.994560e+01	-5.994560e+01
9.971423259703442e-01	-1.785897e-01	6.178296e+01	-6.178296e+01
9.990954509703442e-01	-5.680390e-02	6.269395e+01	-6.269395e+01
1.000000000000000e+00	-2.449294e-15	6.285658e+01	-6.285658e+01
