time	V(n002)	I(L1)	I(I1)	I(V1)
2.516601628613144e-01	-1.041221e-01	3.171561e-02	1.000000e+00	-1.031716e+00
2.536132878613144e-01	-2.250843e-01	3.139406e-02	1.000000e+00	-1.031394e+00
2.555664128613144e-01	-3.426611e-01	3.083956e-02	1.000000e+00	-1.030840e+00
2.575195378613144e-01	-4.550840e-01	3.006045e-02	1.000000e+00	-1.030060e+00
2.594726628613144e-01	-5.606619e-01	2.906845e-02	1.000000e+00	-1.029068e+00
2.614257878613144e-01	-6.578070e-01	2.787849e-02	1.000000e+00	-1.027879e+00
2.633789128613144e-01	-7.450581e-01	2.650844e-02	1.000000e+00	-1.026508e+00
2.653320378613144e-01	-8.211027e-01	2.497894e-02	1.000000e+00	-1.024979e+00
2.672851628613144e-01	-8.847973e-01	2.331297e-02	1.000000e+00	-1.023313e+00
2.692382878613144e-01	-9.351836e-01	2.153560e-02	1.000000e+00	-1.021536e+00
2.711914128613144e-01	-9.715040e-01	1.967356e-02	1.000000e+00	-1.019674e+00
2.731445378613144e-01	-9.932120e-01	1.775485e-02	1.000000e+00	-1.017755e+00
2.750976628613144e-01	-9.999812e-01	1.580834e-02	1.000000e+00	-1.015808e+00
2.770507878613144e-01	-9.917097e-01	1.386330e-02	1.000000e+00	-1.013863e+00
2.790039128613144e-01	-9.685220e-01	1.194899e-02	1.000000e+00	-1.011949e+00
2.809570378613144e-01	-9.307668e-01	1.009419e-02	1.000000e+00	-1.010094e+00
2.829101628613144e-01	-8.790120e-01	8.326807e-03	1.000000e+00	-1.008327e+00
2.848632878613144e-01	-8.140361e-01	6.673424e-03	1.000000e+00	-1.006673e+00
2.858398503613144e-01	-7.768882e-01	5.897330e-03	1.000000e+00	-1.005897e+00
2.868164128613144e-01	-7.368163e-01	5.158906e-03	1.000000e+00	-1.005159e+00
2.877929753613144e-01	-6.939712e-01	4.460932e-03	1.000000e+00	-1.004461e+00
2.887695378613144e-01	-6.485141e-01	3.806035e-03	1.000000e+00	-1.003806e+00
2.897461003613144e-01	-6.006162e-01	3.196678e-03	1.000000e+00	-1.003197e+00
2.907226628613144e-01	-5.504576e-01	2.635157e-03	1.000000e+00	-1.002635e+00
2.916992253613144e-01	-4.982273e-01	2.123583e-03	1.000000e+00	-1.002124e+00
2.926757878613144e-01	-4.441218e-01	1.663883e-03	1.000000e+00	-1.001664e+00
2.936523503613144e-01	-3.883447e-01	1.257786e-03	1.000000e+00	-1.001258e+00
2.946289128613144e-01	-3.311059e-01	9.068213e-04	1.000000e+00	-1.000907e+00
2.956054753613144e-01	-2.726209e-01	6.123094e-04	1.000000e+00	-1.000612e+00
2.965820378613144e-01	-2.131099e-01	3.753588e-04	1.000000e+00	-1.000375e+00
2.975586003613144e-01	-1.527968e-01	1.968613e-04	1.000000e+00	-1.000197e+00
2.985351628613144e-01	-9.190854e-02	7.748855e-05	1.000000e+00	-1.000077e+00
2.995117253613144e-01	-3.067439e-02	1.768987e-05	1.000000e+00	-1.000018e+00
3.004882878613144e-01	3.067522e-02	1.769026e-05	1.000000e+00	-1.000018e+00
3.014648503613144e-01	9.190937e-02	7.748965e-05	1.000000e+00	-1.000077e+00
3.024414128613144e-01	1.527976e-01	1.968629e-04	1.000000e+00	-1.000197e+00
3.034179753613144e-01	2.131107e-01	3.753607e-04	1.000000e+00	-1.000375e+00
3.043945378613144e-01	2.726218e-01	6.123111e-04	1.000000e+00	-1.000612e+00
3.053711003613144e-01	3.311067e-01	9.068223e-04	1.000000e+00	-1.000907e+00
3.063476628613144e-01	3.883454e-01	1.257786e-03	1.000000e+00	-1.001258e+00
3.073242253613144e-01	4.441225e-01	1.663880e-03	1.000000e+00	-1.001664e+00
3.083007878613144e-01	4.982280e-01	2.123578e-03	1.000000e+00	-1.002124e+00
3.092773503613144e-01	5.504583e-01	2.635147e-03	1.000000e+00	-1.002635e+00
3.102539128613144e-01	6.006168e-01	3.196664e-03	1.000000e+00	-1.003197e+00
3.112304753613144e-01	6.485147e-01	3.806014e-03	1.000000e+00	-1.003806e+00
3.122070378613144e-01	6.939718e-01	4.460904e-03	1.000000e+00	-1.004461e+00
3.131836003613144e-01	7.368168e-01	5.158870e-03	1.000000e+00	-1.005159e+00
3.141601628613144e-01	7.768887e-01	5.897283e-03	1.000000e+00	-1.005897e+00
3.151367253613144e-01	8.140365e-01	6.673365e-03	1.000000e+00	-1.006673e+00
3.170898503613144e-01	8.790124e-01	8.326720e-03	1.000000e+00	-1.008327e+00
3.190429753613144e-01	9.307671e-01	1.009407e-02	1.000000e+00	-1.010094e+00
3.209961003613144e-01	9.685222e-01	1.194882e-02	1.000000e+00	-1.011949e+00
3.229492253613144e-01	9.917098e-01	1.386309e-02	1.000000e+00	-1.013863e+00
3.249023503613144e-01	9.999812e-01	1.580807e-02	1.000000e+00	-1.015808e+00
3.268554753613144e-01	9.932119e-01	1.775452e-02	1.000000e+00	-1.017755e+00
3.288086003613144e-01	9.715038e-01	1.967315e-02	1.000000e+00	-1.019673e+00
3.307617253613144e-01	9.351833e-01	2.153511e-02	1.000000e+00	-1.021535e+00
3.327148503613144e-01	8.847969e-01	2.331239e-02	1.000000e+00	-1.023312e+00
3.346679753613144e-01	8.211023e-01	2.497826e-02	1.000000e+00	-1.024978e+00
3.366211003613144e-01	7.450575e-01	2.650767e-02	1.000000e+00	-1.026508e+00
3.385742253613144e-01	6.578064e-01	2.787760e-02	1.000000e+00	-1.027878e+00
3.405273503613144e-01	5.606613e-01	2.906746e-02	1.000000e+00	-1.029067e+00
3.424804753613144e-01	4.550832e-01	3.005934e-02	1.000000e+00	-1.030059e+00
3.444336003613144e-01	3.426603e-01	3.083832e-02	1.000000e+00	-1.030838e+00
3.463867253613144e-01	2.250835e-01	3.139270e-02	1.000000e+00	-1.031393e+00
3.483398503613144e-01	1.041212e-01	3.171413e-02	1.000000e+00	-1.031714e+00
3.512695378613144e-01	-7.968285e-02	3.174989e-02	1.000000e+00	-1.031750e+00
3.532226628613144e-01	-2.011050e-01	3.147562e-02	1.000000e+00	-1.031476e+00
3.551757878613144e-01	-3.195024e-01	3.096715e-02	1.000000e+00	-1.030967e+00
3.571289128613144e-01	-4.330942e-01	3.023214e-02	1.000000e+00	-1.030232e+00
3.590820378613144e-01	-5.401718e-01	2.928162e-02	1.000000e+00	-1.029282e+00
3.610351628613144e-01	-6.391248e-01	2.812991e-02	1.000000e+00	-1.028130e+00
3.629882878613144e-01	-7.284647e-01	2.679432e-02	1.000000e+00	-1.026794e+00
3.649414128613144e-01	-8.068478e-01	2.529494e-02	1.000000e+00	-1.025295e+00
3.668945378613144e-01	-8.730952e-01	2.365432e-02	1.000000e+00	-1.023654e+00
3.688476628613144e-01	-9.262104e-01	2.189714e-02	1.000000e+00	-1.021897e+00
3.708007878613144e-01	-9.653946e-01	2.004982e-02	1.000000e+00	-1.020050e+00
3.727539128613144e-01	-9.900582e-01	1.814016e-02	1.000000e+00	-1.018140e+00
3.747070378613144e-01	-9.998306e-01	1.619688e-02	1.000000e+00	-1.016197e+00
3.766601628613144e-01	-9.945645e-01	1.424919e-02	1.000000e+00	-1.014249e+00
3.786132878613144e-01	-9.743393e-01	1.232641e-02	1.000000e+00	-1.012326e+00
3.805664128613144e-01	-9.394591e-01	1.045744e-02	1.000000e+00	-1.010457e+00
3.825195378613144e-01	-8.904485e-01	8.670402e-03	1.000000e+00	-1.008670e+00
3.844726628613144e-01	-8.280448e-01	6.992168e-03	1.000000e+00	-1.006992e+00
3.854492253613144e-01	-7.921063e-01	6.201817e-03	1.000000e+00	-1.006202e+00
3.864257878613144e-01	-7.531865e-01	5.447984e-03	1.000000e+00	-1.005448e+00
3.874023503613144e-01	-7.114319e-01	4.733506e-03	1.000000e+00	-1.004733e+00
3.883789128613144e-01	-6.669996e-01	4.061073e-03	1.000000e+00	-1.004061e+00
3.893554753613144e-01	-6.200569e-01	3.433215e-03	1.000000e+00	-1.003433e+00
3.903320378613144e-01	-5.707804e-01	2.852295e-03	1.000000e+00	-1.002852e+00
3.913086003613144e-01	-5.193557e-01	2.320501e-03	1.000000e+00	-1.002321e+00
3.922851628613144e-01	-4.659761e-01	1.839832e-03	1.000000e+00	-1.001840e+00
3.932617253613144e-01	-4.108428e-01	1.412099e-03	1.000000e+00	-1.001412e+00
3.942382878613144e-01	-3.541631e-01	1.038912e-03	1.000000e+00	-1.001039e+00
3.952148503613144e-01	-2.961505e-01	7.216735e-04	1.000000e+00	-1.000722e+00
3.961914128613144e-01	-2.370232e-01	4.615792e-04	1.000000e+00	-1.000462e+00
3.971679753613144e-01	-1.770038e-01	2.596075e-04	1.000000e+00	-1.000260e+00
3.981445378613144e-01	-1.163182e-01	1.165184e-04	1.000000e+00	-1.000117e+00
3.991211003613144e-01	-5.519483e-02	3.285052e-05	1.000000e+00	-1.000033e+00
4.000976628613144e-01	6.136300e-03	8.918681e-06	1.000000e+00	-1.000009e+00
4.010742253613144e-01	6.744433e-02	4.481289e-05	1.000000e+00	-1.000045e+00
4.020507878613144e-01	1.284985e-01	1.403980e-04	1.000000e+00	-1.000140e+00
4.030273503613144e-01	1.890691e-01	2.953142e-04	1.000000e+00	-1.000295e+00
4.040039128613144e-01	2.489280e-01	5.089783e-04	1.000000e+00	-1.000509e+00
4.049804753613144e-01	3.078500e-01	7.805862e-04	1.000000e+00	-1.000781e+00
4.059570378613144e-01	3.656134e-01	1.109115e-03	1.000000e+00	-1.001109e+00
4.069336003613144e-01	4.220006e-01	1.493329e-03	1.000000e+00	-1.001493e+00
4.079101628613144e-01	4.767996e-01	1.931782e-03	1.000000e+00	-1.001932e+00
4.088867253613144e-01	5.298040e-01	2.422823e-03	1.000000e+00	-1.002423e+00
4.098632878613144e-01	5.808143e-01	2.964604e-03	1.000000e+00	-1.002965e+00
4.108398503613144e-01	6.296386e-01	3.555086e-03	1.000000e+00	-1.003555e+00
4.118164128613144e-01	6.760930e-01	4.192047e-03	1.000000e+00	-1.004192e+00
4.127929753613144e-01	7.200028e-01	4.873089e-03	1.000000e+00	-1.004873e+00
4.137695378613144e-01	7.612026e-01	5.595648e-03	1.000000e+00	-1.005596e+00
4.147461003613144e-01	7.995375e-01	6.357005e-03	1.000000e+00	-1.006357e+00
4.166992253613144e-01	8.670465e-01	7.984516e-03	1.000000e+00	-1.007985e+00
4.186523503613144e-01	9.215142e-01	9.731142e-03	1.000000e+00	-1.009731e+00
4.206054753613144e-01	9.621215e-01	1.157061e-02	1.000000e+00	-1.011571e+00
4.225586003613144e-01	9.882576e-01	1.347525e-02	1.000000e+00	-1.013475e+00
4.245117253613144e-01	9.995294e-01	1.541643e-02	1.000000e+00	-1.015417e+00
4.264648503613144e-01	9.957674e-01	1.736493e-02	1.000000e+00	-1.017365e+00
4.284179753613144e-01	9.770281e-01	1.929145e-02	1.000000e+00	-1.019291e+00
4.303711003613144e-01	9.435933e-01	2.116702e-02	1.000000e+00	-1.021167e+00
4.323242253613144e-01	8.959661e-01	2.296342e-02	1.000000e+00	-1.022963e+00
4.342773503613144e-01	8.348626e-01	2.465364e-02	1.000000e+00	-1.024654e+00
4.362304753613144e-01	7.612021e-01	2.621225e-02	1.000000e+00	-1.026212e+00
4.381836003613144e-01	6.760924e-01	2.761581e-02	1.000000e+00	-1.027616e+00
4.401367253613144e-01	5.808136e-01	2.884320e-02	1.000000e+00	-1.028843e+00
4.420898503613144e-01	4.767989e-01	2.987597e-02	1.000000e+00	-1.029876e+00
4.440429753613144e-01	3.656126e-01	3.069858e-02	1.000000e+00	-1.030699e+00
4.459961003613144e-01	2.489272e-01	3.129865e-02	1.000000e+00	-1.031299e+00
4.479492253613144e-01	1.284977e-01	3.166717e-02	1.000000e+00	-1.031667e+00
4.499023503613144e-01	6.135469e-03	3.179859e-02	1.000000e+00	-1.031799e+00
4.518554753613144e-01	-1.163190e-01	3.169093e-02	1.000000e+00	-1.031691e+00
4.538086003613144e-01	-2.370240e-01	3.134580e-02	1.000000e+00	-1.031346e+00
4.557617253613144e-01	-3.541639e-01	3.076841e-02	1.000000e+00	-1.030768e+00
4.577148503613144e-01	-4.659769e-01	2.996743e-02	1.000000e+00	-1.029967e+00
4.596679753613144e-01	-5.707811e-01	2.895491e-02	1.000000e+00	-1.028955e+00
4.616211003613144e-01	-6.670002e-01	2.774609e-02	1.000000e+00	-1.027746e+00
